rmat20
mirror access (max),50,57,50,52,51
mirror write (median),1.5,1.0,1.0,1.0,0.0
mirror write (average),1.5,1.5,1.71875,1.578125,1.359375
mirror write (max),5,6,9,9,14
mirror nodes sending updates (median),1.5,1.0,1.0,1.0,0.0
mirror nodes sending updates (average),1.5,1.5,1.71875,1.578125,1.359375
mirror nodes sending updates (max),5,6,9,9,14
master nodes receiving updates (median),1.0,1.0,1.0,1.0,1.0
master nodes receiving updates (average),1.5,1.5,1.71875,1.578125,1.359375
master nodes receiving updates (max),5,5,7,8,6

baseline local time,2.4235787500000003e-07,1.6546534375e-07,1.2214897222222224e-07,8.631077430555555e-08,6.123480803571428e-08
baseline remote time,1.5625e-09,1.6328125e-09,1.3020833333333332e-09,1.1736111111111112e-09,9.676339285714285e-10
baseline time,2.4235787500000003e-07,1.6546534375e-07,1.2214897222222224e-07,8.631077430555555e-08,6.123480803571428e-08
gluon compute time,2.42357875e-07,1.6556934375000002e-07,1.2232675e-07,8.640321875e-08,6.168509375000001e-08
gluon communication time,1.4202421875e-10,2.20865625e-10,4.4477562499999994e-10,6.891062500000001e-10,6.665128125e-10
gluon time,2.4249989921875e-07,1.65790209375e-07,1.22771525625e-07,8.7092325e-08,6.235160656250001e-08
gluon speedup,0.9994143328751579,0.998040501750829,0.9949291710792997,0.9910261817623488,0.9820886968539251

Round 5
master access (median),0.0,0.0,0.0,0.0,0.0
master access (average),0,0,0,0,0
master access (max),0,0,0,0,0
mirror access (median),0.0,0.0,0.0,0.0,0.0
mirror access (average),0,0,0.0625,0.0625,0.046875
mirror access (max),0,0,2,2,2
mirror write (median),0.0,0.0,0.0,0.0,0.0
mirror write (average),0,0,0,0.015625,0.015625
mirror write (max),0,0,0,1,1
mirror nodes sending updates (median),0.0,0.0,0.0,0.0,0.0
mirror nodes sending updates (average),0,0,0,0.015625,0.015625
mirror nodes sending updates (max),0,0,0,1,1
master nodes receiving updates (median),0.0,0.0,0.0,0.0,0.0
master nodes receiving updates (average),0,0,0,0.015625,0.015625
master nodes receiving updates (max),0,0,0,1,1

baseline local time,2.41397875e-07,1.6462534375e-07,1.2149475e-07,8.557121874999999e-08,6.088509375e-08
baseline remote time,0.0,0.0,3.125e-11,3.125e-11,3.125e-11
baseline time,2.41397875e-07,1.6462534375e-07,1.2149475e-07,8.557121874999999e-08,6.088509375e-08
gluon compute time,2.41397875e-07,1.6462534375e-07,1.2152675000000002e-07,8.557121874999999e-08,6.088509375e-08
gluon communication time,0.0,0.0,0.0,8.613828125000001e-11,1.1108546875e-10
gluon time,2.41397875e-07,1.6462534375e-07,1.2152675000000002e-07,8.565735703124999e-08,6.099617921875e-08
gluon speedup,1.0,1.0,0.9997366834873803,0.9989943854884692,0.998178812670354

Round 6
master access (median),x,x,0.0,0.0,0.0
master access (average),x,x,0,0,0
master access (max),x,x,0,0,0
mirror access (median),x,x,0.0,0.0,0.0
mirror access (average),x,x,0,0,0
mirror access (max),x,x,0,0,0
mirror write (median),x,x,0.0,0.0,0.0
mirror write (average),x,x,0,0,0
mirror write (max),x,x,0,0,0
mirror nodes sending updates (median),x,x,0.0,0.0,0.0
mirror nodes sending updates (average),x,x,0,0,0
mirror nodes sending updates (max),x,x,0,0,0
master nodes receiving updates (median),x,x,0.0,0.0,0.0
master nodes receiving updates (average),x,x,0,0,0
master nodes receiving updates (max),x,x,0,0,0

baseline local time,x,x,1.2149475e-07,8.553921875e-08,6.085309375e-08
baseline remote time,x,x,0.0,0.0,0.0
baseline time,x,x,1.2149475e-07,8.553921875e-08,6.085309375e-08
gluon compute time,x,x,1.2149475e-07,8.553921875e-08,6.085309375e-08
gluon communication time,x,x,0.0,0.0,0.0
gluon time,x,x,1.2149475e-07,8.553921875e-08,6.085309375e-08
gluon speedup,x,x,1.0,1.0,1.0

