rmat20
baseline remote time,8.8675e-07,9.7675e-07,1.073125e-06,8.9525e-07,7.61375e-07
baseline time,8.8675e-07,9.7675e-07,1.073125e-06,8.9525e-07,7.61375e-07
gluon compute time,3.71029875e-07,2.9764934375e-07,2.6312675e-07,2.0158721875e-07,1.5870909375e-07
gluon communication time,1.0224042940454945e-08,1.7123545652401262e-08,2.8038921014919557e-08,3.58018076995868e-08,4.1499007759712955e-08
gluon time,3.8125391794045493e-07,3.1477288940240127e-07,2.911656710149196e-07,2.373890264495868e-07,2.0020810150971294e-07
gluon speedup,2.3258777373102157,3.103030892699709,3.6856164954453443,3.7712358207514707,3.8029180350779286

Round 4
master access,22,18,14,8,7
max host master access,10,5,2,2,2
mirror access,182,290,450,629,792
max host mirror access,50,57,50,52,51
mirror write,12,24,55,101,174
mirror update_ratio,6.295977028078483e-06,8.097062183413303e-06,1.2900135826702858e-05,1.747430541798625e-05,2.334352846287158e-05
baseline local time,2.41557875e-07,1.6470534375000002e-07,1.2152675000000002e-07,8.557121874999999e-08,6.088509375e-08
baseline remote time,6.25e-09,7.125e-09,6.25e-09,6.5e-09,6.375e-09
baseline time,2.41557875e-07,1.6470534375000002e-07,1.2152675000000002e-07,8.557121874999999e-08,6.088509375e-08
gluon compute time,2.42357875e-07,1.6561734375000002e-07,1.2232675e-07,8.640321875e-08,6.170109375e-08
gluon communication time,1.2596356805488637e-10,1.5004202105061345e-10,2.3355151534462755e-10,2.863237451625834e-10,3.3881509713729594e-10
gluon time,2.4248383856805485e-07,1.6576738577105065e-07,1.2256030151534463e-07,8.668954249516258e-08,6.203990884713729e-08
gluon speedup,0.9961813390388286,0.9935931786816168,0.9915669959802179,0.987099669545205,0.9813859317559172

Round 5
master access,0,0,0,0,0
max host master access,0,0,0,0,0
mirror access,0,0,2,4,6
max host mirror access,0,0,2,2,2
mirror write,0,0,0,1,2
mirror update_ratio,0.0,0.0,0.0,1.7301292493055694e-07,2.6831641911346646e-07
baseline local time,2.41397875e-07,1.6462534375e-07,1.2149475e-07,8.553921875e-08,6.085309375e-08
baseline remote time,0.0,0.0,2.5e-10,2.5e-10,2.5e-10
baseline time,2.41397875e-07,1.6462534375e-07,1.2149475e-07,8.553921875e-08,6.085309375e-08
